"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.2","1017.0","1017.6","2022-03-01 09:08","1012.9","2022-03-01 15:16","22.6","30.1","2022-03-01 14:18","16.9","2022-03-01 05:02","18.1","79","47","2022-03-01 14:11","1.0","290","7.5","250","2022-03-01 14:57","0.0","0.0","0.0","...","0.0","...","8.5","73.0","18.84","11.5","4.1","14","2022-03-01 13:00","1.8"
"02","1014.8","1016.7","1016.6","2022-03-02 08:44","1012.7","2022-03-02 15:13","23.3","29.1","2022-03-02 12:13","19.6","2022-03-02 02:34","19.4","80","48","2022-03-02 12:14","1.3","300","7.9","260","2022-03-02 12:46","0.0","0.0","0.0","...","0.0","...","9.1","78.0","21.52","12.5","4.8","10","2022-03-02 12:00","1.8"
"03","1014.5","1016.4","1017.2","2022-03-03 09:17","1011.9","2022-03-03 15:26","22.4","28.6","2022-03-03 13:18","18.0","2022-03-03 05:06","18.8","82","52","2022-03-03 14:08","1.3","280","7.3","260","2022-03-03 13:27","0.0","0.0","0.0","...","0.0","...","8.7","74.5","19.97","6.8","4.0","8","2022-03-03 12:00","0.8"
"04","1012.4","1014.2","1015.0","2022-03-04 08:13","1010.0","2022-03-04 16:23","23.2","29.7","2022-03-04 14:07","18.2","2022-03-04 06:15","18.0","75","47","2022-03-04 10:36","1.2","310","7.7","290","2022-03-04 16:01","0.0","0.0","0.0","...","0.0","...","9.2","78.6","21.48","11.0","4.8","8","2022-03-04 12:00","2.0"
"05","1011.5","1013.3","1013.2","2022-03-05 08:30","1009.6","2022-03-05 14:35","23.4","29.9","2022-03-05 12:43","18.0","2022-03-05 06:30","18.6","76","49","2022-03-05 12:56","1.0","310","10.8","300","2022-03-05 14:20","0.0","0.0","0.0","...","0.0","...","10.2","87.0","21.74","11.5","4.7","8","2022-03-05 12:00","0.3"
"06","1013.1","1014.9","1015.2","2022-03-06 09:04","1011.0","2022-03-06 14:36","22.8","27.5","2022-03-06 10:30","19.0","2022-03-06 05:12","19.2","81","58","2022-03-06 10:22","1.4","280","7.8","270","2022-03-06 13:03","0.0","0.0","0.0","...","0.0","...","8.9","75.8","19.73","8.3","-4.2","7","2022-03-06 12:00","3.5"
"07","1013.2","1015.1","1015.1","2022-03-07 21:40","1010.8","2022-03-07 04:27","17.7","21.1","2022-03-07 11:45","12.9","2022-03-07 23:54","15.3","86","70","2022-03-07 20:55","1.4","330","13.1","30","2022-03-07 17:46","T","0.8","T","2022-03-07 07:14","T","2022-03-07 07:14","1.1","9.3","5.88","10.0","4.4","4","2022-03-07 12:00","8.3"
"08","1014.6","1016.4","1016.1","2022-03-08 09:36","1012.5","2022-03-08 15:44","17.0","22.8","2022-03-08 12:31","10.3","2022-03-08 06:13","10.9","69","42","2022-03-08 13:19","1.5","280","7.8","260","2022-03-08 14:03","0.0","0.0","0.0","...","0.0","...","11.0","93.3","25.32","14.3","3.0","10","2022-03-08 13:00","0.0"
"09","1015.1","1016.9","1016.8","2022-03-09 08:32","1012.5","2022-03-09 15:23","19.9","27.1","2022-03-09 14:29","13.8","2022-03-09 06:22","12.5","65","35","2022-03-09 14:09","1.2","300","10.0","310","2022-03-09 15:05","0.0","0.0","0.0","...","0.0","...","11.0","93.1","23.77","13.8","4.1","9","2022-03-09 13:00","0.0"
