"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.3","1019.6","1020.3","2022-02-01 21:55","1016.8","2022-02-01 06:32","16.7","19.6","2022-02-01 09:39","15.6","2022-02-01 00:36","14.8","89","63","2022-02-01 09:58","1.6","60","7.6","100","2022-02-01 22:45","14.0","14.9","1.0","2022-02-01 18:27","3.0","2022-02-01 18:23","0.0","0.0","1.76","13.5","-0.2","...","...","10.0"
"02","1018.5","1019.8","1020.4","2022-02-02 09:12","1016.9","2022-02-02 14:09","17.1","21.1","2022-02-02 12:44","15.8","2022-02-02 01:57","15.9","93","72","2022-02-02 12:34","1.3","60","9.3","80","2022-02-02 13:05","3.0","11.0","0.5","2022-02-02 00:46","1.0","2022-02-02 02:43","0.4","3.6","3.88","10.3","-0.3","...","...","10.0"
"03","1016.8","1018.1","1018.1","2022-02-03 21:56","1013.8","2022-02-03 15:00","15.9","17.1","2022-02-03 00:01","15.2","2022-02-03 17:00","15.4","97","92","2022-02-03 00:01","1.0","50","8.8","80","2022-02-03 15:00","35.5","10.9","3.5","2022-02-03 12:23","9.5","2022-02-03 12:23","0.0","0.0","0.31","4.5","-0.3","...","...","10.0"
"04","1020.3","1021.6","1023.3","2022-02-04 22:16","1017.0","2022-02-04 02:21","14.5","15.8","2022-02-04 12:43","13.3","2022-02-04 23:12","13.6","94","87","2022-02-04 13:49","1.4","70","6.5","350","2022-02-04 14:39","7.0","6.2","0.5","2022-02-04 02:05","1.5","2022-02-04 08:18","0.0","0.0","0.97","11.8","-0.8","...","...","10.0"
"05","1023.6","1024.9","1024.9","2022-02-05 21:24","1022.4","2022-02-05 02:13","14.1","15.0","2022-02-05 11:42","13.3","2022-02-05 00:10","11.2","83","76","2022-02-05 11:59","2.7","70","10.2","60","2022-02-05 14:32","0.0","0.0","0.0","...","0.0","...","0.0","0.0","0.17","12.3","-0.4","...","...","10.0"
"06","1023.0","1024.3","1025.9","2022-02-06 09:59","1020.0","2022-02-06 23:59","14.9","17.0","2022-02-06 12:47","13.5","2022-02-06 07:44","11.5","80","62","2022-02-06 12:23","3.5","70","13.0","50","2022-02-06 14:54","T","1.5","T","2022-02-06 07:18","T","2022-02-06 07:18","2.1","19.0","7.39","22.0","2.0","...","...","9.0"
"07","1016.3","1017.5","1020.1","2022-02-07 00:03","1010.3","2022-02-07 14:31","17.3","22.7","2022-02-07 11:40","14.0","2022-02-07 17:48","14.2","84","54","2022-02-07 11:12","1.9","70","11.2","330","2022-02-07 16:58","9.5","3.0","1.0","2022-02-07 18:49","2.5","2022-02-07 17:59","0.4","3.6","5.26","16.5","-0.8","...","...","9.0"
"08","1019.6","1020.9","1021.8","2022-02-08 09:29","1018.1","2022-02-08 04:30","15.8","17.7","2022-02-08 14:19","14.0","2022-02-08 07:42","13.0","84","65","2022-02-08 13:41","2.2","70","9.6","90","2022-02-08 14:30","0.5","0.6","0.5","2022-02-08 07:38","0.5","2022-02-08 06:48","0.0","0.0","3.46","11.8","0.5","...","...","10.0"
"09","1017.9","1019.2","1020.3","2022-02-09 09:21","1016.2","2022-02-09 14:42","16.8","18.3","2022-02-09 14:49","15.8","2022-02-09 11:14","15.1","90","80","2022-02-09 14:26","1.8","70","9.4","80","2022-02-09 03:57","9.5","3.5","2.0","2022-02-09 10:57","6.5","2022-02-09 10:33","0.1","0.9","2.20","9.3","-0.3","...","...","9.8"
"10","1017.6","1018.9","1020.1","2022-02-10 09:50","1015.7","2022-02-10 15:43","17.4","19.1","2022-02-10 15:37","16.1","2022-02-10 07:22","15.6","90","78","2022-02-10 15:53","1.6","60","9.3","80","2022-02-10 15:53","0.5","0.4","0.5","2022-02-10 08:18","0.5","2022-02-10 08:18","0.0","0.0","2.63","15.8","0.9","...","...","9.8"
"11","1015.4","1016.7","1017.7","2022-02-11 09:24","1013.7","2022-02-11 15:03","19.8","25.2","2022-02-11 11:49","16.0","2022-02-11 05:44","16.6","83","53","2022-02-11 11:57","1.4","220","8.8","70","2022-02-11 02:10","0.0","0.0","0.0","...","0.0","...","4.5","40.3","8.76","15.3","0.6","...","...","5.0"
"12","1015.1","1016.4","1017.3","2022-02-12 09:34","1013.9","2022-02-12 02:14","18.5","19.4","2022-02-12 12:23","17.7","2022-02-12 04:10","16.6","89","82","2022-02-12 13:19","1.5","80","7.1","100","2022-02-12 23:15","0.0","0.0","0.0","...","0.0","...","0.0","0.0","2.16","11.8","1.2","...","...","9.8"
"13","1013.3","1014.5","1016.4","2022-02-13 23:10","1010.6","2022-02-13 13:35","18.5","21.5","2022-02-13 12:24","15.2","2022-02-13 23:47","16.1","86","74","2022-02-13 10:51","2.3","70","10.4","70","2022-02-13 15:00","16.5","4.4","2.0","2022-02-13 22:16","7.5","2022-02-13 21:58","0.0","0.0","4.69","17.8","-0.4","...","...","9.5"
"14","1017.4","1018.7","1019.6","2022-02-14 10:13","1015.2","2022-02-14 03:39","14.9","16.7","2022-02-14 23:10","13.8","2022-02-14 09:13","13.2","90","71","2022-02-14 23:10","2.0","70","10.7","100","2022-02-14 23:09","37.0","13.0","1.5","2022-02-14 04:55","5.0","2022-02-14 04:36","0.1","0.9","0.73","8.3","-0.9","...","...","9.8"
"15","1016.8","1018.1","1018.8","2022-02-15 08:36","1014.6","2022-02-15 14:31","16.7","19.6","2022-02-15 11:14","14.9","2022-02-15 04:04","12.5","76","58","2022-02-15 10:29","2.6","70","10.9","70","2022-02-15 10:05","T","0.8","T","2022-02-15 11:48","T","2022-02-15 11:48","0.2","1.8","5.31","16.3","-0.7","...","...","9.0"
"16","1016.2","1017.5","1017.9","2022-02-16 08:27","1014.4","2022-02-16 15:15","16.9","19.5","2022-02-16 10:17","15.3","2022-02-16 03:16","14.0","84","67","2022-02-16 10:26","2.2","70","11.6","70","2022-02-16 17:50","0.5","0.5","0.5","2022-02-16 00:09","0.5","2022-02-16 00:01","0.1","0.9","4.74","11.3","-0.5","...","...","9.8"
"17","1015.1","1016.4","1017.1","2022-02-17 22:21","1012.2","2022-02-17 05:20","17.4","19.3","2022-02-17 11:22","16.3","2022-02-17 20:43","15.2","87","76","2022-02-17 15:25","2.8","70","12.1","90","2022-02-17 16:08","1.0","4.6","0.5","2022-02-17 13:05","1.0","2022-02-17 13:00","0.3","2.7","5.54","7.8","-0.5","...","...","10.0"
"18","1015.3","1016.6","1017.7","2022-02-18 07:01","1012.8","2022-02-18 15:23","16.8","18.2","2022-02-18 12:19","15.6","2022-02-18 06:20","15.7","93","87","2022-02-18 02:56","1.2","70","6.2","70","2022-02-18 08:22","6.5","13.4","2.0","2022-02-18 13:26","3.0","2022-02-18 12:40","0.0","0.0","2.72","8.3","-0.3","...","...","10.0"
"19","1017.1","1018.4","1021.7","2022-02-19 23:15","1013.5","2022-02-19 04:22","15.8","17.5","2022-02-19 09:49","12.8","2022-02-19 23:38","15.1","96","91","2022-02-19 12:58","1.6","80","8.6","80","2022-02-19 22:04","26.0","17.2","1.5","2022-02-19 17:11","3.5","2022-02-19 16:51","0.0","0.0","1.09","7.3","-0.1","...","...","10.0"
"20","1023.8","1025.1","1026.4","2022-02-20 09:30","1021.2","2022-02-20 00:06","11.1","13.0","2022-02-20 00:14","10.4","2022-02-20 11:59","10.1","94","89","2022-02-20 10:43","2.8","70","10.7","80","2022-02-20 14:21","30.0","21.8","1.0","2022-02-20 00:21","3.0","2022-02-20 06:53","0.0","0.0","0.86","4.3","-0.2","...","...","10.0"
"21","1022.3","1023.6","1024.4","2022-02-21 00:01","1019.8","2022-02-21 14:12","13.3","15.4","2022-02-21 21:45","10.7","2022-02-21 02:19","12.5","95","86","2022-02-21 13:02","3.3","70","11.4","80","2022-02-21 13:19","27.0","18.5","1.0","2022-02-21 19:34","3.5","2022-02-21 19:10","0.0","0.0","2.84","6.5","-0.2","...","...","10.0"
"22","1021.6","1022.9","1023.3","2022-02-22 08:37","1019.7","2022-02-22 15:16","15.2","16.0","2022-02-22 12:35","14.3","2022-02-22 04:13","14.6","96","94","2022-02-22 12:45","2.9","80","12.0","80","2022-02-22 01:57","30.5","19.8","1.0","2022-02-22 00:25","3.5","2022-02-22 03:28","0.0","0.0","2.12","6.0","-0.1","...","...","10.0"
"23","1023.8","1025.1","1026.3","2022-02-23 08:49","1020.2","2022-02-23 02:55","13.4","14.8","2022-02-23 00:01","12.6","2022-02-23 22:57","12.6","95","91","2022-02-23 21:27","2.0","70","8.3","80","2022-02-23 16:09","39.0","13.5","2.5","2022-02-23 08:26","6.5","2022-02-23 08:08","0.0","0.0","3.14","5.8","-0.4","...","...","10.0"
"24","1025.5","1026.8","1027.3","2022-02-24 08:54","1023.8","2022-02-24 14:11","13.5","15.4","2022-02-24 11:37","12.4","2022-02-24 03:51","10.9","85","71","2022-02-24 11:43","2.9","80","10.6","80","2022-02-24 12:39","0.5","1.5","0.5","2022-02-24 01:16","0.5","2022-02-24 00:26","0.0","0.0","3.61","12.0","-1.1","...","...","10.0"
"25","1022.2","1023.5","1025.0","2022-02-25 00:01","1019.8","2022-02-25 15:17","17.1","22.0","2022-02-25 12:51","13.8","2022-02-25 00:49","13.0","77","53","2022-02-25 12:58","2.2","70","10.2","80","2022-02-25 15:05","0.0","0.0","0.0","...","0.0","...","2.3","20.1","11.30","17.3","1.3","...","...","8.8"
"26","1019.8","1021.0","1022.5","2022-02-26 08:49","1017.4","2022-02-26 15:13","18.1","23.9","2022-02-26 12:12","14.3","2022-02-26 05:36","14.8","83","49","2022-02-26 12:06","0.6","10","5.0","360","2022-02-26 13:34","0.0","0.0","0.0","...","0.0","...","2.8","24.4","9.90","16.5","1.4","...","...","7.8"
"27","1019.2","1020.5","1021.7","2022-02-27 08:38","1017.2","2022-02-27 15:41","18.7","22.4","2022-02-27 13:28","15.0","2022-02-27 02:41","13.1","72","42","2022-02-27 13:39","2.4","70","11.2","80","2022-02-27 11:06","0.0","0.0","0.0","...","0.0","...","5.9","51.2","13.69","23.8","3.7","...","...","6.8"
"28","1016.8","1018.1","1020.0","2022-02-28 08:33","1014.3","2022-02-28 15:12","20.9","28.5","2022-02-28 14:14","16.2","2022-02-28 04:02","13.9","68","32","2022-02-28 13:30","1.0","200","6.9","60","2022-02-28 00:01","0.0","0.0","0.0","...","0.0","...","7.6","65.9","14.21","25.0","2.6","...","...","3.3"
