"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.0","1017.0","1009.4","2022-03-01 08:23","1004.7","2022-03-01 15:43","22.5","28.6","2022-03-01 13:55","16.8","2022-03-01 04:08","16.3","69","47","2022-03-01 12:28","0.9","340","5.9","350","2022-03-01 12:54","0.0","0.0","0.0","...","0.0","...","9.1","78.4","21.31","15.0","3.3","8","2022-03-01 12:00","3.8"
"02","1006.7","1016.8","1009.1","2022-03-02 08:55","1004.5","2022-03-02 15:24","22.2","27.0","2022-03-02 14:36","19.0","2022-03-02 06:14","17.4","75","54","2022-03-02 15:38","1.6","340","8.2","360","2022-03-02 11:31","0.0","0.0","0.0","...","0.0","...","9.7","83.4","21.16","20.0","4.5","8","2022-03-02 13:00","1.0"
"03","1006.2","1016.3","1009.0","2022-03-03 08:46","1003.9","2022-03-03 14:30","21.7","28.2","2022-03-03 13:36","18.2","2022-03-03 06:09","16.7","74","46","2022-03-03 13:13","1.0","360","7.3","30","2022-03-03 14:51","0.0","0.0","0.0","...","0.0","...","8.6","73.8","19.80","8.5","3.7","7","2022-03-03 13:00","3.8"
"04","1004.3","1014.3","1007.0","2022-03-04 09:11","1001.8","2022-03-04 16:13","22.7","28.2","2022-03-04 14:38","18.9","2022-03-04 05:57","16.8","71","46","2022-03-04 14:41","0.9","140","5.4","340","2022-03-04 16:50","0.0","0.0","0.0","...","0.0","...","7.3","62.5","16.93","10.0","1.6","6","2022-03-04 13:00","3.8"
"05","1003.4","1013.4","1005.0","2022-03-05 09:47","1001.9","2022-03-05 15:54","22.1","27.1","2022-03-05 13:34","17.7","2022-03-05 06:10","17.0","74","56","2022-03-05 14:46","1.1","340","6.2","320","2022-03-05 16:48","0.0","0.0","0.0","...","0.0","...","9.9","84.6","20.41","12.8","1.9","7","2022-03-05 13:00","1.8"
"06","1004.7","1014.7","1006.8","2022-03-06 09:00","1002.0","2022-03-06 15:43","22.2","27.4","2022-03-06 13:49","18.3","2022-03-06 05:43","16.8","72","52","2022-03-06 12:56","1.3","350","6.0","240","2022-03-06 11:09","0.0","0.0","0.0","...","0.0","...","7.4","63.1","18.24","10.5","-1.5","7","2022-03-06 12:00","5.0"
"07","1006.1","1016.3","1008.7","2022-03-07 21:25","1003.0","2022-03-07 03:58","16.0","20.4","2022-03-07 00:51","11.9","2022-03-07 23:55","12.8","81","61","2022-03-07 21:52","2.7","20","14.5","20","2022-03-07 17:39","4.0","4.0","1.0","2022-03-07 07:36","3.0","2022-03-07 07:06","0.2","1.7","3.25","16.3","-1.7","1","2022-03-07 14:00","9.8"
"08","1006.1","1016.3","1007.7","2022-03-08 10:24","1004.1","2022-03-08 15:42","16.5","23.6","2022-03-08 14:09","10.2","2022-03-08 04:51","8.6","62","35","2022-03-08 14:10","1.7","20","10.2","20","2022-03-08 00:08","0.0","0.0","0.0","...","0.0","...","10.6","90.1","24.64","19.5","4.2","8","2022-03-08 13:00","0.0"
"09","1007.0","1017.2","1009.2","2022-03-09 10:21","1004.8","2022-03-09 16:37","18.8","23.8","2022-03-09 12:09","14.3","2022-03-09 00:30","12.4","69","43","2022-03-09 15:05","1.3","350","8.7","20","2022-03-09 14:04","0.0","0.0","0.0","...","0.0","...","10.1","85.6","22.78","15.0","3.9","8","2022-03-09 13:00","3.0"
