"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.8","1010.9","1009.2","2021-09-01 21:36","1006.0","2021-09-01 15:14","29.5","32.6","2021-09-01 13:07","27.6","2021-09-01 03:52","25.6","80","63","2021-09-01 13:25","2.4","270","9.4","230","2021-09-01 14:52","T","0.2","T","2021-09-01 17:46","T","2021-09-01 17:46","6.0","48.0","21.02","25.9","...","12","2021-09-01 12:00","5.6"
"02","1006.8","1009.9","1008.8","2021-09-02 00:01","1004.5","2021-09-02 15:28","29.2","33.1","2021-09-02 13:52","26.9","2021-09-02 05:04","24.5","76","58","2021-09-02 13:34","2.2","300","11.3","280","2021-09-02 13:46","3.0","1.6","2.0","2021-09-02 04:04","2.5","2021-09-02 04:04","5.7","45.7","18.39","27.1","...","10","2021-09-02 14:00","6.8"
"03","1005.4","1008.5","1007.4","2021-09-03 00:01","1003.4","2021-09-03 15:00","28.3","32.2","2021-09-03 12:15","25.8","2021-09-03 17:21","23.3","75","63","2021-09-03 09:39","1.9","90","11.0","90","2021-09-03 17:12","7.0","1.3","5.0","2021-09-03 12:40","7.0","2021-09-03 12:37","5.2","41.7","13.76","31.3","...","7","2021-09-03 12:00","3.0"
"04","1006.4","1009.5","1007.8","2021-09-04 22:45","1004.8","2021-09-04 15:03","28.9","33.2","2021-09-04 11:58","26.0","2021-09-04 05:47","23.8","75","55","2021-09-04 11:42","2.5","40","10.4","310","2021-09-04 15:01","6.5","2.8","1.5","2021-09-04 18:13","4.5","2021-09-04 18:13","9.8","78.8","24.45","43.5","...","12","2021-09-04 13:00","4.1"
"05","1007.2","1010.3","1010.2","2021-09-05 20:41","1005.1","2021-09-05 15:55","28.2","32.6","2021-09-05 12:48","24.0","2021-09-05 20:30","24.4","81","64","2021-09-05 12:43","2.5","290","14.6","180","2021-09-05 19:51","36.0","3.0","13.0","2021-09-05 20:19","30.5","2021-09-05 20:12","6.1","49.1","16.91","15.1","...","8","2021-09-05 13:00","6.6"
"06","1008.2","1011.2","1010.0","2021-09-06 21:32","1006.7","2021-09-06 15:32","29.1","33.1","2021-09-06 13:24","25.1","2021-09-06 00:01","24.9","79","62","2021-09-06 12:29","2.6","10","10.1","270","2021-09-06 15:33","0.0","0.0","0.0","...","0.0","...","7.3","58.9","19.67","42.5","...","9","2021-09-06 13:00","3.6"
"07","1007.8","1010.8","1009.3","2021-09-07 00:01","1005.8","2021-09-07 16:34","30.4","33.5","2021-09-07 13:43","27.6","2021-09-07 04:11","24.1","70","57","2021-09-07 10:46","2.5","310","10.3","270","2021-09-07 13:25","0.0","0.0","0.0","...","0.0","...","9.4","76.0","22.82","40.6","...","10","2021-09-07 11:00","4.9"
"08","1006.5","1009.5","1008.3","2021-09-08 00:01","1005.1","2021-09-08 15:02","30.2","33.4","2021-09-08 14:06","27.8","2021-09-08 05:39","25.2","75","58","2021-09-08 11:10","2.8","310","10.1","330","2021-09-08 15:31","0.0","0.0","0.0","...","0.0","...","7.9","64.0","20.32","24.0","...","12","2021-09-08 13:00","4.6"
"09","1006.4","1009.5","1007.5","2021-09-09 08:53","1005.2","2021-09-09 15:29","30.1","33.2","2021-09-09 12:42","27.8","2021-09-09 06:03","25.1","75","54","2021-09-09 14:01","2.0","290","7.6","290","2021-09-09 14:14","T","0.1","T","2021-09-09 00:09","T","2021-09-09 00:09","8.3","67.4","21.53","20.4","...","11","2021-09-09 13:00","4.3"
