"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1004.5","...","1006.3","2019-04-01 10:09","1002.2","2019-04-01 23:53","15.3","16.5","2019-04-01 12:35","14.0","2019-04-01 05:52","...","82","72","2019-04-01 20:52","4.0","75","15.5","98","2019-04-01 21:53","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1001.0","...","1003.1","2019-04-02 09:19","999.2","2019-04-02 15:26","18.8","21.8","2019-04-02 13:51","16.0","2019-04-02 00:24","...","79","69","2019-04-02 13:43","2.7","92","13.9","88","2019-04-02 02:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1001.3","...","1003.3","2019-04-03 10:02","999.7","2019-04-03 15:48","18.9","20.6","2019-04-03 15:36","17.0","2019-04-03 05:25","...","89","83","2019-04-03 15:47","1.1","269","5.1","312","2019-04-03 02:55","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","998.7","...","1001.0","2019-04-04 00:00","996.1","2019-04-04 14:57","21.3","25.9","2019-04-04 13:13","18.8","2019-04-04 18:50","...","84","64","2019-04-04 12:13","1.9","312","8.4","339","2019-04-04 17:56","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","997.1","...","998.7","2019-04-06 00:00","995.4","2019-04-05 16:00","20.0","24.0","2019-04-05 13:11","18.4","2019-04-05 04:55","...","82","65","2019-04-05 13:13","1.4","315","6.3","89","2019-04-05 20:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","996.1","...","997.4","2019-04-06 07:49","994.3","2019-04-06 16:21","21.5","25.3","2019-04-06 09:59","17.7","2019-04-06 05:47","...","75","60","2019-04-06 10:11","1.1","318","7.4","329","2019-04-06 12:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","995.5","...","997.4","2019-04-07 09:47","993.7","2019-04-07 15:34","23.6","27.7","2019-04-07 14:59","20.3","2019-04-07 04:15","...","76","59","2019-04-07 15:01","1.5","266","10.1","258","2019-04-07 15:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","995.9","...","997.3","2019-04-08 09:57","994.7","2019-04-08 03:33","24.8","29.2","2019-04-08 10:43","21.1","2019-04-08 05:04","...","75","55","2019-04-08 10:43","0.8","7","6.3","318","2019-04-08 13:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","993.7","...","996.0","2019-04-10 00:00","991.1","2019-04-09 15:31","25.5","29.1","2019-04-09 12:26","22.2","2019-04-09 06:00","...","77","53","2019-04-09 10:54","2.0","143","11.6","263","2019-04-09 13:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
