Date,Supply Power,Load Power,Temperature,Holiday
20190401,29772,27842,18.2851516,0
20190402,30275,28359,20.92403047,0
20190403,30387,28483,21.62178541,0
20190404,28003,25663,23.34023287,2
20190405,26414,24542,22.52781625,2
20190406,26649,24966,23.54274791,2
20190407,27018,25240,25.10928384,2
20190409,32368,30399,23.166821,0
20190410,32620,30541,25.837685,0
20190411,33496,31532,25.982586,0
20190413,28206,26446,22.7702989,2
20190414,28065,25537,23.87639516,2
20190415,30735,28749,21.7780521,0
20190416,30894,29017,20.69304423,0
20190417,31615,29565,23.31330717,0
20200330,32224,28716,21.47267292,0
20200331,32484,29162,22.55064209,0
20200401,32373,28278,20.37938976,0
20200402,29551,25443,20.20923012,2
20200403,28869,25120,21.05444228,2
20200404,28652,24238,19.82245163,2
20200405,28596,24347,18.89282674,2
20200407,31963,28246,18.821129,0
20200408,32145,28246,19.94576,0
20200409,32300,28285,21.506236,0
20200411,28931,25752,21.62526424,2
20200412,27413,24604,17.61147843,2
20200413,30942,27614,18.00770317,0
20200414,31447,27884,20.54962212,0
20200415,31679,28182,21.87280134,0
20210330,35318,32056,18.5960712,0
20210331,35323,32094,20.20234053,0
20210401,35475,32005,23.27706841,0
20210402,32253,29093,24.28061103,2
20210403,30687,27630,24.08667623,2
20210404,28213,25218,21.80322998,2
20210405,28935,26063,22.02747648,2
20210407,32945,29741.5,22.813566,0
20210408,33081.5,29857.5,22.842653,0
20210409,33194.25,29934.5,23.042958,0
20210410,29983,27017,24.49867549,2
20210411,29471,26623,25.45755437,2
20210412,34357,31152,26.2963186,0
20210413,34818,31623,25.0922026,0
20210414,33845,30610,25.05720258,0
